Time [s],PIN_TASK_A,PIN_TASK_B
4.789254400,0,1
4.789255040,0,0
4.789256800,0,1
4.789257600,0,0
4.789259360,0,1
4.789260160,0,0
4.789261760,0,1
4.789262560,0,0
4.789264320,0,1
4.789265120,0,0
4.789266880,0,1
4.789267680,0,0
4.789269280,0,1
4.789270080,0,0
4.789271840,0,1
4.789272640,0,0
4.789274400,0,1
4.789275040,0,0
4.789276800,0,1
4.789277600,0,0
4.789279360,0,1
4.789280160,0,0
4.789281760,0,1
4.789282560,0,0
4.789284320,0,1
4.789285120,0,0
4.789286880,0,1
4.789287680,0,0
4.789289280,0,1
4.789290080,0,0
4.789291840,0,1
4.789292640,0,0
4.789294400,0,1
4.789295040,0,0
4.789296800,0,1
4.789297600,0,0
4.789299360,0,1
4.789300160,0,0
4.789301760,0,1
4.789302560,0,0
4.789304320,0,1
4.789305120,0,0
4.789306880,0,1
4.789307680,0,0
4.789309280,0,1
4.789310080,0,0
4.789311840,0,1
4.789312640,0,0
4.789314400,0,1
4.789315040,0,0
4.789316800,0,1
4.789317600,0,0
4.789319360,0,1
4.789320160,0,0
4.789321760,0,1
4.789322560,0,0
4.789324320,0,1
4.789325120,0,0
4.789326880,0,1
4.789327680,0,0
4.789329280,0,1
4.789330080,0,0
4.789331840,0,1
4.789332640,0,0
4.789334400,0,1
4.789335040,0,0
4.789335680,1,0
5.788139520,1,0
